Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Private Class,org.junit.platform.engine.support.hierarchical.CompositeLock.CompositeLockManagedBlocker,3,1,1,0,0,3,2,,15
Public Class,org.junit.platform.engine.support.hierarchical.DemoEngineExecutionContext,1,1,1,0,0,1,1,,6
Public Class,org.junit.platform.engine.support.hierarchical.DemoHierarchicalContainerDescriptor,6,1,2,60,1,8,5,,28
Public Class,org.junit.platform.engine.support.hierarchical.DemoHierarchicalEngineDescriptor,6,1,3,60,0,6,5,,25
Public Class,org.junit.platform.engine.support.hierarchical.DemoHierarchicalTestDescriptor,9,1,2,61,0,9,6,,34
Public Class,org.junit.platform.engine.support.hierarchical.ExclusiveResource,11,1,1,48,0,8,7,,53
Public Class,org.junit.platform.engine.support.hierarchical.ForkJoinDeadLockTests,5,1,1,0,0,19,5,,114
Public Class,org.junit.platform.engine.support.hierarchical.ForkJoinPoolHierarchicalTestExecutorService,32,1,1,88,0,31,17,,204
Private Class,org.junit.platform.engine.support.hierarchical.NodeTestTask.DefaultDynamicTestExecutor,9,1,1,33,0,22,3,,43
Public Class,org.junit.platform.engine.support.hierarchical.OpenTest4JAwareThrowableCollector,1,1,2,0,0,2,1,,6
Public Class,org.junit.platform.engine.support.hierarchical.SameThreadHierarchicalTestExecutorService,4,1,1,0,0,5,4,,17
Private Class,org.junit.platform.engine.support.hierarchical.SingleLock.SingleLockManagedBlocker,3,1,1,0,0,3,2,,15
Public Class,org.junit.platform.engine.support.hierarchical.SingleTestExecutor,3,1,1,0,0,8,1,,22
Public Class,org.junit.platform.engine.support.hierarchical.ThrowableCollector,16,1,1,56,2,8,9,,65
Public Class,org.junit.platform.engine.support.store.Namespace,8,1,1,33,0,7,6,,41
Public Class,org.junit.platform.engine.support.store.NamespaceTests,2,1,1,0,0,4,2,,15
Public Class,org.junit.platform.engine.support.store.NamespacedHierarchicalStoreException,2,1,3,0,0,3,2,,10
Public Class,org.junit.platform.engine.support.store.NamespacedHierarchicalStoreTests,1,1,1,100,0,3,1,,398
Public Class,org.junit.platform.fakes.FaultyTestEngines,2,1,1,0,0,3,2,,38
Public Class,org.junit.platform.fakes.TestDescriptorStub,3,1,2,0,8,4,2,,9
Public Class,org.junit.platform.fakes.TestEngineSpy,5,1,1,60,6,8,5,,26
Public Class,org.junit.platform.fakes.TestEngineStub,5,1,1,60,25,7,5,,20
Public Class,org.junit.platform.jfr.FlightRecordingDiscoveryListener,5,1,1,60,0,16,5,,75
Public Class,org.junit.platform.jfr.FlightRecordingDiscoveryListenerIntegrationTests,1,1,1,0,0,14,1,,40
Public Class,org.junit.platform.jfr.FlightRecordingExecutionListener,8,1,1,71,0,21,7,,124
Public Class,org.junit.platform.jfr.FlightRecordingExecutionListenerIntegrationTests,1,1,1,0,0,15,1,,52
Public Class,org.junit.platform.launcher.EngineDiscoveryResult,6,1,1,50,0,7,6,,33
Public Class,org.junit.platform.launcher.EngineFilter,16,1,1,60,0,9,10,,65
Public Class,org.junit.platform.launcher.InterceptedTestEngine,1,1,2,0,0,1,1,,6
Public Class,org.junit.platform.launcher.InterceptorInjectedLauncherSessionListener,3,1,1,67,0,5,3,,17
Public Class,org.junit.platform.launcher.LauncherConstants,1,1,1,0,0,3,1,,27
Public Class,org.junit.platform.launcher.PostDiscoveryFilterStub,2,1,2,0,0,3,2,,8
Public Class,org.junit.platform.launcher.TestLauncherDiscoveryListener,1,1,1,0,0,2,1,,7
Public Class,org.junit.platform.launcher.TestLauncherInterceptor1,4,1,1,33,0,8,3,,27
Public Class,org.junit.platform.launcher.TestLauncherInterceptor2,2,1,1,50,0,2,2,,16
Public Class,org.junit.platform.launcher.TestLauncherSessionListener,4,2,1,0,0,1,2,,16
Public Class,org.junit.platform.launcher.TestPlan,31,1,1,88,1,20,18,,130
Public Class,org.junit.platform.launcher.TestPostDiscoveryTagFilter,1,1,1,0,0,4,1,,7
Public Class,org.junit.platform.launcher.core.ConfigurationParametersFactoryForTests,2,1,1,0,0,4,2,,10
Public Class,org.junit.platform.launcher.core.DiscoveryIssueException,1,1,3,0,0,2,1,,7
Public Class,org.junit.platform.launcher.core.EngineDiscoveryOrchestrator,33,1,1,90,0,39,17,,172
Public Class,org.junit.platform.launcher.core.EngineExecutionOrchestrator,27,1,1,87,0,32,15,,168
Public Class,org.junit.platform.launcher.core.HierarchicalOutputDirectoryProviderTests,4,1,1,31,0,12,4,,42
Public Class,org.junit.platform.launcher.core.InternalTestPlanTests,7,1,1,50,0,16,7,,69
Public Class,org.junit.platform.launcher.core.LauncherDiscoveryResult,13,1,1,61,0,13,11,,87
Public Class,org.junit.platform.launcher.core.LauncherFactory,25,1,1,0,0,30,13,,93
Public Class,org.junit.platform.launcher.core.LauncherFactoryForTestingPurposesOnly,2,1,1,0,0,5,2,,15
Public Class,org.junit.platform.launcher.core.ListenerRegistryTests,8,1,1,0,0,4,3,,21
Public Class,org.junit.platform.launcher.core.NamespacedHierarchicalStoreProviders,2,1,1,0,0,2,2,,8
Public Class,org.junit.platform.launcher.core.OutputDirectoryProviders,4,1,1,0,0,4,2,,10
Public Class,org.junit.platform.launcher.listeners.AnotherUnusedTestExecutionListener,1,1,1,0,0,2,1,,7
Public Class,org.junit.platform.launcher.listeners.LegacyReportingUtils,7,1,1,0,0,8,5,,32
Public Class,org.junit.platform.launcher.listeners.LoggingListener,14,1,1,83,0,11,12,,49
Public Class,org.junit.platform.launcher.listeners.LoggingListenerTests,3,1,1,0,0,14,2,,79
Public Class,org.junit.platform.launcher.listeners.NoopTestExecutionListener,1,1,1,0,0,2,1,,7
Public Class,org.junit.platform.launcher.listeners.OutputDir,21,1,1,69,0,15,8,,82
Public Class,org.junit.platform.launcher.listeners.SummaryGeneratingListener,22,1,1,44,0,11,8,,86
Public Class,org.junit.platform.launcher.listeners.UniqueIdTrackingListener,19,1,1,69,0,20,8,,74
Public Class,org.junit.platform.launcher.listeners.UnusedTestExecutionListener,1,1,1,0,0,2,1,,7
Public Class,org.junit.platform.launcher.listeners.discovery.LauncherDiscoveryListeners,12,1,1,0,0,11,6,,48
